Channel1,channel2,channel3,channel4,channel5,channel6,Label
56,69,79,58,61,60,left
54,68,77,59,62,61,left
54,69,77,60,61,60,left
52,69,76,61,62,59,left
51,69,82,60,61,57,left
49,68,80,61,63,57,left
48,69,78,58,63,58,left
48,69,81,60,63,59,left
49,69,82,59,62,59,left
49,68,83,59,63,57,left
49,69,81,58,63,56,left
49,69,78,58,62,57,left
50,69,78,58,62,56,left
50,70,78,57,64,55,left
51,70,78,57,65,54,left
52,70,77,58,64,54,left
53,69,85,58,64,56,left
54,70,83,59,63,57,left
53,70,84,58,63,54,left
55,70,84,57,63,53,left
55,69,83,56,63,54,left
57,71,85,56,63,55,left
57,70,90,56,61,54,left
58,71,93,57,63,55,left
58,71,93,56,62,56,left
59,70,95,56,62,58,left
60,70,97,58,61,57,left
60,70,98,58,60,56,left
61,70,98,59,60,58,left
62,70,102,57,62,60,left
63,70,100,58,64,61,left
63,71,103,57,62,61,left
64,71,99,57,61,62,left
64,69,110,56,63,63,left
65,70,109,55,61,65,left
66,70,109,55,61,67,left
67,71,107,55,63,68,left
68,71,109,55,61,70,left
69,72,110,55,61,73,left
70,72,111,52,62,74,left
70,71,112,55,62,77,left
71,71,108,56,62,78,right
72,72,107,55,63,81,right
72,71,110,55,63,83,right
72,72,114,55,62,84,right
73,72,112,54,62,86,right
73,73,112,55,64,87,right
73,73,112,56,67,89,right
74,73,112,56,64,88,right
74,75,116,55,64,91,right
74,74,113,55,65,92,right
74,76,116,55,64,92,right
75,77,119,54,71,95,right
75,78,120,54,68,94,right
76,78,117,55,68,96,right
75,77,118,54,68,95,right
75,78,121,53,70,97,right
75,77,124,52,72,98,right
76,77,119,53,73,100,right
75,78,119,53,75,101,right
75,78,120,53,73,101,right
76,79,124,54,75,101,right
76,79,121,54,75,101,right
77,78,123,55,78,102,right
78,79,120,55,80,103,right
79,78,121,54,80,104,right
79,78,122,55,81,103,right
80,77,122,55,82,103,right
79,77,123,54,85,104,right
80,76,123,54,85,104,right
80,77,130,54,86,105,right
81,76,127,55,88,104,right
81,76,126,56,90,106,right
81,76,124,55,92,104,right
83,76,125,57,94,105,right
84,75,121,55,95,105,right
85,76,123,55,99,104,right
84,76,124,56,100,105,right
86,76,121,55,101,105,right
87,76,122,55,103,105,right
88,76,122,55,107,104,right
88,76,121,56,107,103,right
89,76,121,55,109,104,right
