Channel1,channel2,channel3,channel4,channel5,channel6,Label
82,91,81,138,62,75,stop
83,92,82,141,61,73,stop
85,95,82,144,63,72,stop
86,93,80,145,63,72,stop
88,95,79,146,65,71,stop
90,94,77,146,66,70,stop
91,96,75,150,66,69,stop
93,101,75,151,69,69,stop
94,99,74,153,69,66,stop
95,96,73,153,69,65,stop
96,97,74,155,69,64,stop
97,104,76,158,71,62,stop
97,100,76,158,72,61,stop
99,105,76,158,72,62,stop
98,104,74,159,73,61,stop
98,104,76,160,73,60,stop
99,104,78,163,75,59,stop
68,66,70,61,60,63,left
68,66,69,61,61,64,left
68,66,66,59,60,63,left
66,67,69,58,60,63,left
65,66,71,58,61,63,left
63,67,75,58,61,62,left
61,67,79,58,61,63,left
59,68,81,57,62,63,left
57,68,78,57,61,61,left
56,69,79,58,61,60,left
54,68,77,59,62,61,left
54,69,77,60,61,60,left
52,69,76,61,62,59,left
51,69,82,60,61,57,left
49,68,80,61,63,57,left
48,69,78,58,63,58,left
48,69,81,60,63,59,left
49,69,82,59,62,59,left
49,68,83,59,63,57,left
49,69,81,58,63,56,left
49,69,78,58,62,57,left
50,69,78,58,62,56,left
50,70,78,57,64,55,left
51,70,78,57,65,54,left
52,70,77,58,64,54,left
53,69,85,58,64,56,left
54,70,83,59,63,57,left
53,70,84,58,63,54,left
55,70,84,57,63,53,left
55,69,83,56,63,54,left
57,71,85,56,63,55,left
57,70,90,56,61,54,left
58,71,93,57,63,55,left
58,71,93,56,62,56,left
59,70,95,56,62,58,left
60,70,97,58,61,57,left
60,70,98,58,60,56,left
61,70,98,59,60,58,left
62,70,102,57,62,60,left
63,70,100,58,64,61,left
63,71,103,57,62,61,left
64,71,99,57,61,62,left
64,69,110,56,63,63,left
65,70,109,55,61,65,left
66,70,109,55,61,67,left
67,71,107,55,63,68,left
68,71,109,55,61,70,left
69,72,110,55,61,73,left
70,72,111,52,62,74,left
70,71,112,55,62,77,left
87,93,71,71,76,57,left
84,92,72,72,73,54,left
80,91,71,73,69,53,left
81,90,70,73,66,54,left
79,88,69,73,65,55,left
76,86,68,73,62,58,left
75,85,68,74,60,62,left
73,84,68,76,58,61,left
71,83,68,77,56,61,left
69,82,67,78,55,59,left
67,81,68,78,54,59,left
65,79,66,79,52,56,left
63,77,66,81,50,53,left
62,76,67,80,50,52,left
60,75,65,81,48,51,left
60,73,64,80,48,51,left
58,71,65,80,48,50,left
56,69,64,78,47,49,left
55,68,63,78,47,48,left
54,65,63,78,46,48,left
53,64,63,78,46,46,left
51,64,62,77,46,46,left
49,63,63,78,45,47,left
50,61,62,78,46,46,left
48,58,61,77,45,46,left
47,57,60,78,44,45,left
46,55,60,77,45,45,left
46,54,60,78,45,46,left
46,52,60,78,45,45,left
46,51,60,77,46,45,left
47,51,60,76,46,44,left
47,51,60,78,46,44,left
47,49,59,77,47,44,left
48,48,57,78,48,44,left
48,48,57,78,47,44,left
48,48,56,78,49,44,left
50,49,56,79,49,44,left
51,49,55,79,50,44,left
51,48,54,79,50,43,left
52,50,52,80,51,44,left
53,50,52,80,52,44,left
54,49,52,80,53,45,left
56,50,51,79,53,44,left
57,51,50,80,54,45,left
59,51,48,80,55,46,left
61,52,49,80,55,46,left
62,52,48,80,56,46,left
63,54,48,81,56,45,left
65,53,47,80,57,47,left
65,54,46,80,56,48,left
66,55,46,80,57,47,left
90,86,71,67,67,75,right
90,86,72,66,67,76,right
91,86,72,66,67,75,right
92,87,72,65,68,77,right
92,88,72,65,68,77,right
94,88,72,64,68,77,right
94,88,73,64,68,79,right
93,90,72,64,68,80,right
94,89,72,63,68,81,right
95,90,72,64,69,80,right
95,89,72,63,70,82,right
96,91,72,62,70,85,right
96,92,73,62,69,86,right
96,91,72,62,67,86,right
97,91,72,62,70,87,right
97,90,72,62,72,86,right
99,91,71,61,73,85,right
98,93,73,61,75,86,right
100,92,73,61,75,86,right
100,79,58,62,61,61,right
105,78,57,62,61,62,right
108,75,58,62,62,62,right
106,75,60,61,61,64,right
108,79,59,60,60,65,right
110,77,59,63,61,64,right
111,75,58,61,60,62,right
114,75,60,60,60,61,right
114,83,63,59,60,62,right
115,82,63,60,60,60,right
112,85,60,59,59,59,right
116,87,59,60,57,58,right
115,91,59,62,57,59,right
115,93,57,60,58,59,right
116,90,59,61,59,60,right
113,89,61,60,58,60,right
116,85,60,61,59,59,right
114,82,64,62,58,59,right
113,81,62,62,56,58,right
114,78,61,61,55,58,right
112,81,62,61,55,62,right
114,80,63,60,58,59,right
114,80,61,61,59,58,right
114,80,62,61,59,56,right
111,79,61,61,58,56,right
111,81,61,59,58,60,right
113,82,62,60,58,57,right
117,82,64,59,59,58,right
117,84,63,60,58,59,right
116,82,62,58,57,62,right
115,80,63,64,58,62,right
113,82,62,62,57,59,right
111,80,63,63,58,58,right
112,80,63,62,63,57,right
111,85,65,63,63,56,right
109,93,64,63,61,59,right
111,97,64,63,61,60,right
109,96,62,63,61,62,right
110,97,62,62,63,62,right
108,91,64,63,60,61,right
106,90,65,62,60,60,right
91,98,55,73,65,113,right
87,95,56,74,64,112,right
84,93,54,72,68,114,right
82,95,59,74,67,116,right
79,89,58,75,68,116,right
78,88,57,74,67,118,right
75,89,56,74,65,119,right
73,87,55,72,68,118,right
70,85,56,71,68,120,right
68,83,55,71,68,124,right
67,80,56,74,68,122,right
70,80,55,71,68,124,right
76,82,54,72,67,124,right
79,81,54,74,65,124,right
89,86,54,73,65,124,right
101,76,54,63,56,58,right
101,74,53,64,57,59,right
100,85,54,64,58,61,right
100,83,52,63,61,61,right
102,84,53,62,62,60,right
101,83,54,62,61,59,right
103,82,54,65,62,62,right
104,82,55,63,61,64,right
102,78,56,62,64,65,right
99,80,58,63,64,63,left
100,79,58,62,61,61,right
105,78,57,62,61,62,right
